max_value,0.3937
num_nodes,38
index_set,191
mean_value,0.139026
std_value,0.05919388215010061

experiment,mnist,lr_cnn,n_conv,som_in,max_pool,max_pool2d_size,filters_pow,kernel_size,n_max,at,eb,ds_beta,eps_ds,epochs,seed
217,0.3011217,0.07980202,2,37,1,4,2,7,28,0.9278379999999999,0.002971,0.377246,0.032139999999999995,178,48401
218,0.0964218,0.03740626,4,30,0,3,5,3,194,0.9972059999999999,0.0081586,0.36527,0.0289,144,194800
219,0.1135219,0.045005500000000004,4,33,1,3,3,3,167,0.716146,0.007960600000000002,0.371258,0.013059999999999999,81,7601
220,0.1096220,0.039006099999999995,3,39,1,3,4,7,178,0.998402,0.0035253999999999997,0.129742,0.040060000000000005,142,38001
221,0.1135221,0.01740826,3,11,0,3,3,3,25,0.8500979999999999,0.0073666,0.119762,0.03394,192,148400
222,0.1135222,0.0790021,2,98,1,2,4,5,149,0.9553459999999999,0.0014265999999999999,0.157686,0.019180000000000003,160,23601
223,0.1135223,0.08740126,2,92,1,3,2,5,188,0.891958,0.001189,0.291418,0.08362,166,122800
224,0.1135224,0.07380262,4,84,1,3,2,5,156,0.9158780000000001,0.009901,0.10379400000000001,0.06418,121,193200
225,0.1135225,0.0750025,4,46,1,2,6,3,21,0.773554,0.0017038,0.16567,0.01486,193,190800
226,0.1135226,0.07300269999999999,2,12,0,3,5,5,105,0.986442,0.0096238,0.23153800000000002,0.0163,103,182000
227,0.1135227,0.02340766,3,107,1,3,2,7,89,0.84651,0.0076438,0.12175799999999999,0.03034,130,175600
